"Year","Age","n","n_preg","Smooth_preg_rate","CI95lower","CI95upper","n_estim"
2015,6,19,15,0.156555760011405,0.0149257503884645,0.694547437452146,4
2016,6,130,77,0.150349280112266,0.0115384404513787,0.728442975424952,3
2017,6,53,28,0.143701420822938,0.00883920808962197,0.759495683033286,3
2018,6,NA,NA,0.136681155410142,0.00671175080201122,0.787662825681867,3
1952,7,NA,NA,0.689976034222322,0.368839474096876,0.894467842071223,11
1953,7,NA,NA,0.70681684509049,0.413358903801199,0.891875681966413,13
1954,7,33,29,0.722339406047545,0.457319302069719,0.88927240791235,16
1955,7,NA,NA,0.736536906412365,0.499486728415928,0.886768060718325,19
1956,7,NA,NA,0.749417031362397,0.538794317049879,0.884476429616416,23
1957,7,NA,NA,0.761057028338016,0.574781876720438,0.882423032670662,29
1958,7,NA,NA,0.771533214284601,0.60718553749876,0.880637474015382,36
1959,7,NA,NA,0.780919241338743,0.635902606514971,0.879153526199726,44
1960,7,NA,NA,0.789284836815116,0.660951211590091,0.878008397951825,53
1961,7,NA,NA,0.796694928013555,0.682432485979152,0.877240621954447,65
1962,7,NA,NA,0.803209070083015,0.700500151446148,0.876885933189297,78
1963,7,NA,NA,0.808881105412047,0.715339683923278,0.876970752233635,91
1964,7,25,22,0.813758994019182,0.72715684736735,0.877503690413308,100
1965,7,109,96,0.817884765094821,0.736173148986266,0.878466869222485,112
1966,7,49,43,0.821294549583518,0.74262405857,0.879810160491137,117
1967,7,123,109,0.824018662211681,0.74675562997058,0.881451452182918,121
1968,7,55,48,0.826081708599919,0.748817142483823,0.88328393875929,120
1969,7,165,146,0.827502699124629,0.749050605873454,0.885188230876083,117
1970,7,107,92,0.828229238491322,0.747412577533123,0.88709430745827,110
1971,7,NA,NA,0.828124337057085,0.743747465091525,0.888869558892695,106
1972,7,NA,NA,0.827211857511421,0.738296587087504,0.890402147884826,92
1973,7,NA,NA,0.825514644965443,0.731261777356863,0.891610546058265,87
1974,7,NA,NA,0.823047984234776,0.722821229575969,0.892426762633855,77
1975,7,NA,NA,0.81982065760804,0.713137873259151,0.892792955636686,69
1976,7,NA,NA,0.815835949216792,0.702366712614537,0.892657585306461,64
